Name,License Plate,State,Make,Model,Model Year,VIN,Fuel Type,Tank Capacity,Department,Location,Policy,Cards
#169,89DHCW,FL,DODGE,RAM,2020,3C6TRVPG5LE122049,Unleaded Regular,24.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#170,88DHCW,FL,Ford,Transit Wagon,2016,1FBAX2CGXGKA26354,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,YRX024
#171,95DXLV,FL,Ford,Transit,2020,1FBAX2C89LKB24407,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,YRX070
#172,07DHCW,FL,,,,,,,N/A,Royal Transportation,Miami,Royal Regular Policy,
#173,D737561,FL,FORD,TRANSIT,2023,1FDVU4XG6PKB25969,,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,YRX130
#174,RXCD20,FL,FORD,TRANSIT,2023,1FDVU4XG8PKB23995,,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,YRX060
#175,RAGL61,FL,FORD,TRANSIT,2024,1FBAX2CG7RKB10828,,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,YRX018
#201,IZSD69,FL,Toyota,Rav4,2018,2T3WFREV1JW414290,Unleaded Regular,14.5,Royal Transportation,Miami,Royal Regular Policy,
#202,IZSD68,FL,Toyoya,RAV 4,2018,2T3WFREV3JW410807,Unleaded Regular,14.5,Royal Transportation,Miami,Royal Regular Policy,YRX089
#204,IZSD85,FL,DODGE,CARAVAN,,2C4RDGBG6GR140780,Unleaded Regular,20.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#205,07DVAF,FL,Hyundai,Sonata,2017,5NPE24AF8HH514266,Unleaded Regular,18.5,Royal Transportation,Miami,Royal Regular Policy,YRX064
#206,99DXLV,FL,,,,,,,,N/A,Miami,Royal Regular Policy,YRX150
#207,PIQU40,FL,Ford,T250,2020,1FTBR1C83LKA16675,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#208,PIQU41,FL,FORD,,2020,1FTBR1C89LKA16681,Unleaded Regular,N/A,Royal Transportation,Miami,Royal Bus/Van Policy,
#209,PIQU42,FL,FORD,T250,2020,1FTBR1C8XLKA16690,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#210,28EDFY,FL,Hyundai,Elantra,2022,5NPLM4AG1NH066880,Unleaded Regular,14.0,Royal Transportation,Miami,Royal Regular Policy,YRX090
#212,62AKTJ,FL,CHEV,MALIBU,,1G1ZD5STXMF087109,Unleaded Regular,15.8,Royal Transportation,Miami,Royal Regular Policy,"YRX073, YRX004"
#213,63AKTJ,FL,Chevy,Malibu,2021,1G1ZD5ST2MF089081,Unleaded Regular,15.8,Royal Transportation,Miami,Royal Regular Policy,
#214,61BCET,FL,HYUNDAI,Kona,2022,KM8K62AB8NU847959,Unleaded Regular,13.2,Royal Transportation,Miami,Royal Regular Policy,YRX100
#215,54APHH,FL,Hyundai,Venue,2021,KMHRB8A30MU072125,Unleaded Regular,11.9,Royal Transportation,Miami,Royal Regular Policy,
#217,41DAYS,FL,Hyundai,Elantra,2023,5NPLM4AG6PH093222,Unleaded Regular,14.0,Royal Transportation,Miami,Royal Regular Policy,YRX041
#218,96DHBT,FL,Hyundai,Elantra,2023,5NPLS4AG1PH093201,Unleaded Regular,14.0,Royal Transportation,Miami,Royal Regular Policy,
#219,04DHCW,FL,Ford,Transit Cargo,2018,NM0GE9F71J1353736,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#221,06DHCW,FL,BUICK,ENCORE,2019,KL4CJASB9KB792522,Unleaded Regular,14.0,Royal Transportation,Miami,Royal Regular Policy,
#222,AZ65LN,FL,Hyundai,Sonata,2019,5NPE24AF8KH819581,Unleaded Regular,18.5,Royal Transportation,Miami,Royal Regular Policy,YRX047
#223,27DHCW,FL,KIA,FORTE,2020,5NPD74LF8LH585146,Unleaded Regular,14.0,Royal Transportation,Miami,Royal Regular Policy,YRX139
#224,59DHCW,FL,KIA,FORTE,2020,3KPF24AD8LE164590,Unleaded Regular,14.0,Royal Transportation,Miami,Royal Regular Policy,
#226,79DHCW,FL,Hyundai,Elantra,2020,5NPD84LF1LH592811,Unleaded Regular,14.0,Royal Transportation,Miami,Royal Regular Policy,YRX083
#227,80DHCW,FL,HYUNDAI,ACCENT,2022,3KPC24A65NE159306,Unleaded Regular,11.9,Royal Transportation,Miami,Royal Regular Policy,YRX039
#228,97DHCW,FL,Toyota,Corolla,2021,JTDEPMAE6MJ171130,Unleaded Regular,13.2,Royal Transportation,Miami,Royal Regular Policy,YRX049
#229,08DVAF,FL,HYUNDAI,SONATA,,5NPE34AF4JH682912,Unleaded Regular,18.5,Royal Transportation,Miami,Royal Regular Policy,YRX044
